"Timeslice_younger","BIO","Value","Source"
"9","BIO14",0.720343354555247,"Pnon-growing state"
"9","BIO17",0.721441926712681,"Pnon-growing state"
"9","BIO19",0.736908731530444,"Pnon-growing state"
"9.5","BIO14",0.654597260681766,"Pnon-growing state"
"9.5","BIO17",0.658449453691342,"Pnon-growing state"
"9.5","BIO19",0.54356036357275,"Pnon-growing state"
"10","BIO14",0.60754927848121,"Pnon-growing state"
"10","BIO17",0.593149884370215,"Pnon-growing state"
"10","BIO19",0.459789631679551,"Pnon-growing state"
"10.5","BIO14",0.618798863667543,"Pnon-growing state"
"10.5","BIO17",0.609463981233294,"Pnon-growing state"
"10.5","BIO19",0.496687371791448,"Pnon-growing state"
"11","BIO14",0.468767946670715,"Pnon-growing state"
"11","BIO17",0.452449284105793,"Pnon-growing state"
"11","BIO19",0.484794511946445,"Pnon-growing state"
"11.5","BIO14",0.261284815231449,"Pnon-growing state"
"11.5","BIO17",0.147048697237681,"Pnon-growing state"
"11.5","BIO19",0.285146604931421,"Pnon-growing state"
"12","BIO14",0.0941599236519345,"Pnon-growing state"
"12","BIO17",0.02180786164618,"Pnon-growing state"
"12","BIO19",0,"Pnon-growing state"
"12.5","BIO14",0.220479618828871,"Pnon-growing state"
"12.5","BIO17",0.0960457564822789,"Pnon-growing state"
"12.5","BIO19",0.255787895715169,"Pnon-growing state"
"13","BIO14",0.400752217219878,"Pnon-growing state"
"13","BIO17",0.423899545173568,"Pnon-growing state"
"13","BIO19",0.503025551933474,"Pnon-growing state"
"13.5","BIO14",0.394037927086381,"Pnon-growing state"
"13.5","BIO17",0.421149129716447,"Pnon-growing state"
"13.5","BIO19",0.404839653031695,"Pnon-growing state"
"14","BIO14",0.307711500723164,"Pnon-growing state"
"14","BIO17",0.296481761702599,"Pnon-growing state"
"14","BIO19",0.36400405214123,"Pnon-growing state"
"14.5","BIO14",0.290611870828,"Pnon-growing state"
"14.5","BIO17",0.287556940448286,"Pnon-growing state"
"14.5","BIO19",0.322875609163419,"Pnon-growing state"
"15","BIO14",0.325984734839297,"Pnon-growing state"
"15","BIO17",0.334438673170778,"Pnon-growing state"
"15","BIO19",0.323353222265174,"Pnon-growing state"
"15.5","BIO14",0.30106781401348,"Pnon-growing state"
"15.5","BIO17",0.310372296039821,"Pnon-growing state"
"15.5","BIO19",0.280911485400099,"Pnon-growing state"
"16","BIO14",0.2333927582919,"Pnon-growing state"
"16","BIO17",0.225536329999533,"Pnon-growing state"
"16","BIO19",0.337738450679542,"Pnon-growing state"
"16.5","BIO14",0.219845791999894,"Pnon-growing state"
"16.5","BIO17",0.211660094573313,"Pnon-growing state"
"16.5","BIO19",0.269899724997223,"Pnon-growing state"
"17","BIO14",0.172615405825969,"Pnon-growing state"
"17","BIO17",0.213397065118849,"Pnon-growing state"
"17","BIO19",0.32533335100524,"Pnon-growing state"
"17.5","BIO14",0.00897172980663759,"Pnon-growing state"
"17.5","BIO17",0.0873600872621107,"Pnon-growing state"
"17.5","BIO19",0.360903538662239,"Pnon-growing state"
"18","BIO14",0,"Pnon-growing state"
"18","BIO17",0.0201799336797168,"Pnon-growing state"
"18","BIO19",0.413963711381768,"Pnon-growing state"
"18.5","BIO14",0.0963729234708226,"Pnon-growing state"
"18.5","BIO17",0.147366604349686,"Pnon-growing state"
"18.5","BIO19",0.526537690458961,"Pnon-growing state"
"19","BIO14",0.0276107913888208,"Pnon-growing state"
"19","BIO17",0.141913734112561,"Pnon-growing state"
"19","BIO19",0.575282120084134,"Pnon-growing state"
"19.5","BIO14",0.156744406726999,"Pnon-growing state"
"19.5","BIO17",0.100432376569392,"Pnon-growing state"
"19.5","BIO19",0.532272108724077,"Pnon-growing state"
"20","BIO14",0.164161651840063,"Pnon-growing state"
"20","BIO17",0.05265387798042,"Pnon-growing state"
"20","BIO19",0.549921922030298,"Pnon-growing state"
"20.5","BIO14",0.123277543316805,"Pnon-growing state"
"20.5","BIO17",0,"Pnon-growing state"
"20.5","BIO19",0.638401101722814,"Pnon-growing state"
"0","BIO4",0.0459569258819233,"Seasonality state"
"0","BIO15",0,"Seasonality state"
"0.5","BIO4",0.00140492207016803,"Seasonality state"
"0.5","BIO15",0.0101608077248048,"Seasonality state"
"1","BIO4",0,"Seasonality state"
"1","BIO15",0.0315660252741204,"Seasonality state"
