"Longitude","Latitude","Biome"
123.75,-24.1223483,"6"
127.5,-24.1223483,"6"
131.25,-24.1223483,"6"
135,-24.1223483,"6"
138.75,-24.1223483,"5"
142.5,-24.1223483,"5"
146.25,-24.1223483,"5"
-71.25,-24.1223483,"7"
-67.5,-24.1223483,"6"
-63.75,-24.1223483,"5"
-60,-24.1223483,"6"
-56.25,-24.1223483,"1"
-52.5,-24.1223483,"1"
15,-27.8334445,"6"
18.75,-27.8334445,"6"
22.5,-27.8334445,"6"
26.25,-27.8334445,"3"
116.25,-27.8334445,"6"
120,-27.8334445,"6"
123.75,-27.8334445,"5"
127.5,-27.8334445,"5"
131.25,-27.8334445,"6"
135,-27.8334445,"5"
138.75,-27.8334445,"5"
142.5,-27.8334445,"5"
146.25,-27.8334445,"5"
150,-27.8334445,"5"
-71.25,-27.8334445,"7"
-67.5,-27.8334445,"6"
-63.75,-27.8334445,"6"
-60,-27.8334445,"6"
-56.25,-27.8334445,"6"
-52.5,-27.8334445,"5"
18.75,-31.5445233,"6"
22.5,-31.5445233,"6"
116.25,-31.5445233,"5"
120,-31.5445233,"5"
123.75,-31.5445233,"6"
135,-31.5445233,"5"
138.75,-31.5445233,"6"
142.5,-31.5445233,"5"
146.25,-31.5445233,"3"
-71.25,-31.5445233,"6"
-67.5,-31.5445233,"3"
-63.75,-31.5445233,"5"
-60,-31.5445233,"6"
-56.25,-31.5445233,"6"
138.75,-35.2555805,"3"
142.5,-35.2555805,"3"
146.25,-35.2555805,"3"
-71.25,-35.2555805,"6"
-67.5,-35.2555805,"3"
-63.75,-35.2555805,"6"
-60,-35.2555805,"6"
-75,-38.9666105,"3"
-71.25,-38.9666105,"6"
-67.5,-38.9666105,"6"
-71.25,-42.6776062,"6"
-67.5,-42.6776062,"6"
-75,-46.3885581,"4"
-71.25,-46.3885581,"6"
-75,-50.0994534,"6"
-71.25,-50.0994534,"6"
